Company Name,Address,PO Box,Phone,Fax,Email,Website,Business Activity
1 to 1 Contracting Interior Designing LLC,Dubai,48235,04-2580414,04-2580717,, ,Interior Designers & Consultants
21st Century Design Interior Consultants,Dubai,73717,04-3460666,04-3461112,,www.21stcenturydesignllc.com,Interior Decorators
3 Square,Dubai – Sh Zayed Road,212306,04-3215592,04-3215591,,www.3-square.ae,Interior Designers & Consultants
3D DESIGN & DECORATION & DISPLAY,Dubai,60943,04-3364500,04-3364501,,,Interior Decoration
3D Innovation Co,Dubai,54136,04-3474898,04-3471727,,www.innovations.co.ae,Interior Designers & Consultants
3d home interior design,"Ahmedabad, Gujarat",380006,07965140540,07965140540,cheesy.3dhome@gmail.com,http://www.thecheesyanimation.com/3d-home-interior,3d office interior design
4Space Interior Design,"HDS Business Centre Cluster M, Unit 2608 Jumeirah",0,0097144385537,0097144385537,info@4space.ae,http://www.4space.ae,Interior Design Services
4th Dimension Interior Design,Abu Dhabi,53060,02-6764447,02-6766544,,,Interior Designers & Consultants
A &T Group Interiors,"Dubai Head Office M1 Zainal Mohebi Plaza, Al Kifaf",184432,+971 4 396 4121,+971 4 396 4122,info@atginteriors.com,http://www.atginteriors.com/,"Interior Fit Out Contractor, Interior Design"
A A A JOINERY & INTERIOR DECORATION,Dubai,47802,04-2679453,04-2679453,,www.aaajoinery.com,Exhibition Stands – Designers & Manufacturers
A&T Group Interiors,"M1 Zainal Mohebi Plaza, Al Kifaf Area, Trade Cente",184432,+971 4 396 4121,+971 4 396 4122,info@atginteriors.com,http://www.atginteriors.com,"Interior Fit Out Contractor, Interior Design"
A&T Group Interiors,"Dubai Head Office: M1 Zainal Mohebi Plaza, Al Kifa",702272,+971 4 396 4121,+971 4 396 4122,info@atginteriors.com,http://www.atginteriors.com,"Interior Fit Out Contractor, Interior Design"
A. NASEEB INTERIOR DESIGN,Dubai,172513,04-2298557,04-2298559,,,Interior Decoration
AAA Interiors,Ras Al Khaimah-RAK Free Zone,,050-5456280,06-5590971,,,Interior Design and Architerctural Consultancies
AAA Interiors,Ras Al Khaimah – RAK Free Zone,,06-5590971,,,,Interior Design and Architerctural Consultancies
AAA Interiors FZC,Ras Al Khaimah-RAK Free Zone,10559,07-2041913,07-2041010,,,Interior Design and Architerctural Consultancies
ABM DESIGNS (L.L.C),Dubai,113206,04-2679013,04-2679016,,,Interior Decoration
ACE INTERIOR DESIGN (L.L.C),Dubai,71957,04-3334466,04-3334050,,,Carpentry & Flooring Contracting
ACE INTERIOR DESIGN (L.L.C),Dubai,71957,04-3334466,04-3334050,,,Painting Contracting
ACE INTERIOR DESIGN (L.L.C),Dubai,71957,04-3334466,04-3334050,,,False Ceilings Trading
ACE INTERIOR DESIGN LLC,Dubai,71957,04-3334466,04-3334050,,,Exhibition Stands – Designers & Manufacturers
ACOD,Ras Al Khaimah – RAK Free Zone,,04-3124092,,,,Architectural & Interior Design Consultancy
ACOD,Ras Al Khaimah-RAK Free Zone,,,04-3124092,,,Architectural & Interior Design Consultancy
ACORE Consultant,Ras Al Khaimah – RAK Free Zone,,04-3559744,,,,Interior Design Engineering & Aeronautical Engineering Consultants
ACORE Consultant,Ras Al Khaimah-RAK Free Zone,,,04-3559744,,,Interior Design Engineering & Aeronautical Engineering Consultants
ACROPOL INTERIORS LLC,Sharjah,23706,06-5595175,06-5595062,,,"INTERIOR DECORATORS Interior designers for offices, commercial & residential."
ADC Interiors LLC,Dubai,22083,04-3333078,04-3336899,, ,Interior Designers & Consultants
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Partitions & False Ceilings Contracting
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Painting Contracting
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Engraving & Ornamentaion Works
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Interior Decoration
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Floor & Wall Tiling Works
ADEN STAR INTERIOR DESIGNS,Dubai,18786,04-2580663,04-2580664,,,Carpentry & Flooring Contracting
ADVANDE INTERIORS DESIGN (L.L.C),Dubai,116254,04-2626730,04-2626787,,,Floor & Wall Tiling Works
ADVANDE INTERIORS DESIGN (L.L.C),Dubai,116254,04-2626730,04-2626787,,,Painting Contracting
ADVANDE INTERIORS DESIGN (L.L.C),Dubai,116254,04-2626730,04-2626787,,,Partitions & False Ceilings Contracting
AENZAY Interiors & Architects,"DEIRA, NAD AL HAMMAR",410560,+97-142-855845,+97-14-2859447,aenzay@live.com,http://www.aenzay.com,"Interior designer. Architectural Services, interior designing, elevation, Mapping,"
